Basin,Coeff.,Expon.,Zmax,Zinit
  1,0.7760, 3.144, 0.100, 0.0982
  2,0.0400, 3.220, 0.070, 0.0358
  3,0.4270, 2.813, 0.125, 0.0678
  4,0.0140, 5.861, 0.055, 0.0358
  5,0.0400, 2.000, 0.125, 0.0765
  6,0.2800, 3.689, 0.125, 0.1148
  7,0.2280, 3.912, 0.125, 0.0861
  8,0.2280, 3.439, 0.125, 0.1016
  9,0.2850, 3.555, 0.100, 0.0743
 10,0.0090, 5.298, 0.125, 0.0309
 11,0.0140, 4.587, 0.125, 0.0549
 12,0.0400, 2.000, 0.125, 0.5000
 13,0.0400, 2.000, 0.125, 0.5000
 14,0.0400, 2.000, 0.125, 0.5000
 15,0.0400, 2.000, 0.125, 0.5000
 16,0.0400, 2.000, 0.125, 0.5000
 17,0.0400, 2.000, 0.125, 0.5000
 18,0.0400, 2.000, 0.125, 0.5000
 19,0.0400, 2.000, 0.125, 0.5000
 20,0.0400, 2.000, 0.125, 0.5000
 21,0.0400, 2.000, 0.125, 0.5000
 22,0.0400, 2.000, 0.125, 0.5000
 23,0.0400, 2.000, 0.125, 0.5000
 24,0.0400, 2.000, 0.125, 0.5000
 25,0.0400, 2.000, 0.125, 0.5000
 26,0.0400, 2.000, 0.125, 0.5000
 27,0.0400, 2.000, 0.125, 0.5000
 28,0.0400, 2.000, 0.125, 0.5000
 29,0.0400, 2.000, 0.125, 0.5000
 30,0.0400, 2.000, 0.125, 0.5000
 31,0.0400, 2.000, 0.125, 0.5000
 32,0.0400, 2.000, 0.125, 0.5000
 33,0.0400, 2.000, 0.125, 0.5000
 34,0.0400, 2.000, 0.125, 0.5000
 35,0.0400, 2.000, 0.125, 0.5000
 36,0.0400, 2.000, 0.125, 0.5000
 37,0.0400, 2.000, 0.125, 0.5000
 38,0.0400, 2.000, 0.125, 0.5000
 39,0.0400, 2.000, 0.125, 0.5000
 40,0.0400, 2.000, 0.125, 0.5000
 41,0.0400, 2.000, 0.125, 0.5000
 42,0.0400, 2.000, 0.125, 0.5000
 43,0.0400, 2.000, 0.125, 0.5000
 44,0.0400, 2.000, 0.125, 0.5000
 45,0.0400, 2.000, 0.125, 0.5000
 46,0.0400, 2.000, 0.125, 0.5000
 47,0.0400, 2.000, 0.125, 0.5000
 48,0.0400, 2.000, 0.125, 0.5000
 49,0.0400, 2.000, 0.125, 0.5000
 50,0.0400, 2.000, 0.125, 0.5000
 51,0.0400, 2.000, 0.125, 0.5000
 52,0.0400, 2.000, 0.125, 0.5000
 53,0.0400, 2.000, 0.125, 0.5000
 54,0.0400, 2.000, 0.125, 0.5000
 55,0.0400, 2.000, 0.125, 0.5000
 56,0.0400, 2.000, 0.125, 0.5000
 57,0.0400, 2.000, 0.125, 0.5000
 58,0.0400, 2.000, 0.125, 0.5000
 59,0.0400, 2.000, 0.125, 0.5000
 60,0.0400, 2.000, 0.125, 0.5000
 61,0.0400, 2.000, 0.125, 0.5000
 62,0.0400, 2.000, 0.125, 0.5000
 63,0.0400, 2.000, 0.125, 0.5000
 64,0.0400, 2.000, 0.125, 0.5000
 65,0.0400, 2.000, 0.125, 0.5000
