 Current Time, Timeslice Update Time, Weight Update Time, Gage Lookback Seconds, Gage ID, Current Persistence Weight Index, Current Persistence Weight, Inflow, Storage, Water Elevation, Gage Discharge, Persisted Outflow, Levelpool Outflow, Weighted Outflow
                 300,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.41417,   788972.43750,      210.72701,       -1.00000,        0.00000,        0.37264,        0.37264
                 600,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.34501,   793762.56250,      210.73067,       -1.00000,        0.00000,        0.37802,        0.37802
                 900,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.27684,   798530.56250,      210.73431,       -1.00000,        0.00000,        0.38356,        0.38356
                1200,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.20959,   803276.68750,      210.73795,       -1.00000,        0.00000,        0.38927,        0.38927
                1500,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.14314,   808001.06250,      210.74156,       -1.00000,        0.00000,        0.39513,        0.39513
                1800,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.07742,   812703.93750,      210.74516,       -1.00000,        0.00000,        0.40113,        0.40113
                2100,               86400,               86400,                   0,             2358000,                  13,        0.00000,       16.01236,   817385.43750,      210.74875,       -1.00000,        0.00000,        0.40728,        0.40728
                2400,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.94794,   822045.75000,      210.75232,       -1.00000,        0.00000,        0.41355,        0.41355
                2700,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.88411,   826685.00000,      210.75587,       -1.00000,        0.00000,        0.41994,        0.41994
                3000,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.82085,   831303.31250,      210.75941,       -1.00000,        0.00000,        0.42645,        0.42645
                3300,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.75815,   835900.81250,      210.76294,       -1.00000,        0.00000,        0.43307,        0.43307
                3600,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.69599,   840477.68750,      210.76645,       -1.00000,        0.00000,        0.43979,        0.43979
                3900,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.63438,   845034.00000,      210.76993,       -1.00000,        0.00000,        0.44662,        0.44662
                4200,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.57332,   849569.93750,      210.77339,       -1.00000,        0.00000,        0.45351,        0.45351
                4500,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.51281,   854085.62500,      210.77684,       -1.00000,        0.00000,        0.46046,        0.46046
                4800,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.45285,   858581.25000,      210.78027,       -1.00000,        0.00000,        0.46753,        0.46753
                5100,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.39345,   863056.87500,      210.78369,       -1.00000,        0.00000,        0.47469,        0.47469
                5400,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.33467,   867512.68750,      210.78709,       -1.00000,        0.00000,        0.48192,        0.48192
                5700,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.27646,   872080.62500,      210.79059,       -1.00000,        0.00000,        2.64652,        0.05000
                6000,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.21883,   876630.06250,      210.79407,       -1.00000,        0.00000,       17.81129,        0.05396
                6300,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.16178,   881159.75000,      210.79753,       -1.00000,        0.00000,       32.91018,        0.06292
                6600,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.10531,   885669.62500,      210.80098,       -1.00000,        0.00000,       47.94317,        0.07229
                6900,               86400,               86400,                   0,             2358000,                  13,        0.00000,       15.04943,   890159.75000,      210.80441,       -1.00000,        0.00000,       62.91027,        0.08229
